mouse,probe_position,stim_current,stim_freq,unitID,waveform_duration,waveform_halfwidth,waveform_rep_slope,waveform_REP,waveform_amplitude,waveform_velocity_above,waveform_velocity_below,VL_pre,MMR_Pre,MMR_Post,MMR_stimOn,angle_pre_ch15,Nspikes_pre,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,pvalue_ch15_pre,VL_stimOn,angle_stimOn_ch15,Nspikes_StimOn,pvalue_ch15_stimOn,VL_post,angle_post_ch15,Nspikes_post,pvalue_ch15_post,peak_ch,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse577578,close,1,sine_140Hz,46,0.4703870387038705,0.1328532853285329,768.8577848307922,0.301080108010801,184.1265215146867,-0.3433835845896137,0.0,0.0454595149776076,0.2451634495444154,0.226085820356761,0.2319598079852524,4.7172733640553846,485.0,7.71048167104257,8.134496566766481,7.573364999512914,0.1628380281947902,0.0189257497253956,2.791707268928155,483.0,0.9125051885251066,0.0365885947961365,5.610508503426287,547.0,0.2989224586641683,17,CL,3440,0.0135018025349411,SSp-tr6a,2.829089959686684
mouse577578,close,1,sine_140Hz,401,0.4946894689468948,0.2805580558055806,110.34930593237168,0.3075607560756075,61.22880689585519,0.7554438860971526,0.3433835845896151,0.0183655420862327,0.1731604499919934,0.2083758506708867,0.2203318559195344,2.579444190596157,809.0,7.443155022595297,8.061121316481714,7.377277872424902,0.4439081816168442,0.0370731696849648,5.040227047725682,636.0,0.7735345374270903,0.0356494507377868,5.560653714777155,649.0,0.7684241838306508,21,CL,3400,0.022995269817613,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,53,0.509000900090009,0.2168316831683169,124.966290095491,0.3151215121512152,77.9667994358655,-0.137353433835846,-0.2060301507537682,0.0380375439748602,0.2567599085334006,0.2630911805053135,0.2664180917989431,5.215148908943682,433.0,7.443155022595297,8.061121316481714,7.377277872424902,0.3370471662390149,0.0294885399413369,2.943709131561336,437.0,0.8858005553327887,0.0636572477923182,3.3931460408443264,412.0,0.3255151601387514,21,CL,3400,0.0416664834046026,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,52,0.5368136813681369,0.2052205220522052,184.38523529617308,0.3421242124212422,97.18816534091444,0.6180904522613071,0.0686767169179227,0.0358669695789198,0.2380790316135022,0.1892007249043251,0.186699876082329,2.385028714157855,608.0,7.443155022595297,8.061121316481714,7.377277872424902,0.9467783110042152,0.0358729584991868,3.063468294276776,903.0,0.6732006222515055,0.0333602566212633,4.7073451572346094,856.0,0.7065625628567933,21,CL,3400,0.0223497378039285,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,49,0.5376237623762378,0.3224122412241225,18.453367140510935,0.3585958595859586,39.45658969953168,0.7554438860971526,0.2747068676716921,0.0393905999959999,0.270955583139796,0.3468392058397477,0.3439705033068118,5.702367887376248,250.0,7.443155022595297,8.061121316481714,7.377277872424902,0.8911554474266487,0.060969509732375,0.466046271637462,199.0,0.4236361974732549,0.0548619275908568,2.824496207910673,161.0,0.6047650581019816,21,CL,3400,0.0840672733192244,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,50,0.5133213321332134,0.1701170117011702,371.40015280012346,0.3135013501350134,149.46827493162598,0.7554438860971521,0.0,0.0475712482414096,0.434915338024721,0.3401587086781136,0.4841822210020205,4.528813559490206,75.0,7.443155022595297,8.061121316481714,7.377277872424902,0.7065272346002619,0.0428007290301275,5.002061736013391,58.0,0.6208090092124597,0.0477217111941486,2.9660022554788563,146.0,0.8092492389942848,21,CL,3400,0.0388170305510785,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,51,0.5387038703870388,0.154995499549955,752.8115863239244,0.317011701170117,218.5503667675044,1.0988274706867664,0.0,0.0806608211529112,0.3322383276996504,0.3381815973028144,0.3082998656638614,1.87282301772384,202.0,7.443155022595297,8.061121316481714,7.377277872424902,0.6308282846660558,0.0508007798600888,2.996555269437136,167.0,0.434004885461863,0.0656117541452433,3.2634382420075485,220.0,0.0236785021418462,21,CL,3400,0.0112993111024407,SSp-tr6a,2.7809620637470047
mouse577578,close,1,sine_140Hz,56,0.5041404140414042,0.1806480648064806,185.91183609517648,0.3351035103510351,78.20173085912134,0.1373534338358457,0.0686767169179227,0.0262813786934485,0.1695660484256582,0.2082548481140795,0.1813111887385566,3.204511386694283,938.0,7.114591026802836,7.710857949508873,7.161669959107681,0.1314452516723502,0.0228376674779656,4.151187919285142,974.0,0.5020870964232241,0.0328177668971278,4.246287267757015,937.0,0.7197026288865256,24,CL,3360,0.0196020434588297,SSp-tr6a,2.756923103751717
mouse577578,close,1,sine_140Hz,58,0.4682268226822682,0.2540954095409541,69.26147803994377,0.3045904590459047,76.55148592982394,1.7332695222142454,0.068676716917923,0.0369251533145068,0.2635978390369897,0.28544016953834,0.348867609702368,3.925657023903776,346.0,7.295645614466092,7.983967746491709,7.302870661273866,0.4600227953018277,0.0468122986717354,1.4986157829300624,138.0,0.6972993288007201,0.0355319851047165,5.3398880421188135,289.0,0.5239211760539405,25,CL,3360,0.0598171230009788,SSp-tr6a,2.732901388634431
mouse577578,close,1,sine_140Hz,57,0.61998199819982,0.2673267326732673,198.98312582181893,0.336993699369937,95.3797736022737,0.5494137353433841,-0.1373534338358457,0.0379941277910358,0.1977116786474467,0.2036042674001993,0.198561284330341,5.746995506403411,728.0,7.295645614466092,7.983967746491709,7.302870661273866,0.4330211573209471,0.0310103371938751,4.495549830247121,643.0,0.1188655403736447,0.0259535798738665,2.826175938904858,638.0,0.2633086119179104,25,CL,3360,0.0206795388241579,SSp-tr6a,2.732901388634431
