mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse657904,close,274,0.0604796528103635,0.0407529137960726,0.0362007650303704,3.6417214532115376,2.388836328165851,2.218976112319736,357.0,269.0,298.0,3.5700000000000003,2.69,2.98,1.7166464400102894,0.0248963813982678,mouse657904close274,0.1487848784878487,0.5162916291629164,0.3594059405940595,3
mouse657904,close,277,0.0759872852733068,0.0802709116281012,0.0965836863359756,5.4325047305376515,5.683085682023887,5.151565116014293,1341.0,1289.0,1414.0,13.41,12.89,14.14,1.701837242511751,0.0214453023424073,mouse657904close277,0.1671467146714671,0.3297029702970298,0.2578757875787578,0
mouse657904,close,280,0.1575860059164263,0.1426970602596106,0.1818713204680381,1.5572970051385953,1.5085241155523377,1.4481845608885344,2810.0,3220.0,2725.0,28.1,32.2,27.25,1.681703005884214,0.0372067349351096,mouse657904close280,0.2052205220522052,0.584878487848785,0.2279027902790279,3
mouse657904,close,282,0.1368415346508177,0.1627866886327988,0.1410030423093509,1.9722067761724869,2.3553116989008807,1.899790469397811,573.0,257.0,572.0,5.73,2.57,5.72,1.6669583078169652,0.063498877130004,mouse657904close282,0.2203420342034204,0.5905490549054906,0.4212421242124212,3
mouse657904,close,283,0.2195281500732392,0.0852479983103621,0.2244454166263172,2.537608084587299,2.4012825603479246,2.477362335322306,585.0,486.0,251.0,5.8500000000000005,4.86,2.5100000000000002,1.6669583078169652,0.0896064136897552,mouse657904close283,0.2748874887488749,0.5500450045004501,0.5122412241224122,1
mouse657904,close,275,0.2398418689676027,0.2132631784987785,0.1866375574381974,2.3547472911881413,2.1724323304533453,2.0997176856997,467.0,485.0,570.0,4.67,4.8500000000000005,5.7,1.6669583078169652,0.0499605886255168,mouse657904close275,0.1774077407740774,0.4722772277227723,0.3758775877587759,3
mouse657904,close,313,0.2377566018947454,0.23852287708583605,0.2618109736726693,1.7109889617156937,1.7241637655202848,1.4819614191287065,1009.0,1316.0,968.0,10.09,13.16,9.68,1.5769828787910158,0.082114819405255,mouse657904close313,0.1922592259225923,0.2765076507650765,0.1512151215121512,0
mouse657904,close,357,0.1551118201835676,0.1304022528334226,0.0861046380416218,1.1608314109070814,5.863992783749543,1.9669067079948044,133.0,511.0,277.0,1.33,5.11,2.77,1.0647769719523428,0.0895205543631349,mouse657904close357,0.20495049504950502,0.6877587758775879,0.4055805580558057,3
mouse657904,close,247,0.0376393494159297,0.1123423476599863,0.0329264048312346,0.9634674229584372,6.0055169281522955,1.990670822653884,295.0,211.0,191.0,2.95,2.11,1.9100000000000001,1.8215721231946869,0.061067399259485,mouse657904close247,0.2054905490549055,0.7423042304230425,0.3550855085508552,3
mouse657904,close,265,0.0732385061034808,0.0130980206797832,0.0615168913099041,1.6594067670087578,0.0510202804132906,1.4416412618579604,699.0,851.0,838.0,6.99,8.51,8.38,1.7166464400102894,0.0381956916869187,mouse657904close265,0.2716471647164717,0.8025202520252027,0.4501350135013503,1
mouse657904,close,361,0.1291988114798789,0.0425785355979763,0.0945264612630208,1.4362809511053751,5.2633279706416785,0.9272916423278834,567.0,1102.0,825.0,5.67,11.02,8.25,1.0647769719523428,0.088376487047735,mouse657904close361,0.2289828982898291,0.6596759675967598,0.4849684968496849,1
